name,quantity
$200 X-Camp New Student Tuition Certificates,5
1 Month Discord Nitro Subscription,2
"$10 Gift Card (Amazon, Steam, Apple/Google Play, League of Legends)",6
Meta Shirt Swag Bundle (Size Medium)*,2
Messenger Bottle + WhatsApp Pin*	,2
Microsoft Black Bottle + Xbox Controller Pin*	,1
Microsoft White Tumbler + Xbox Pin*	,1
Competitive Programming 4 - Book 1 by Steven Halim*	,1
Competitive Programming 4 - Book 2 by Steven Halim*	,1
5x CALICO Sticker Pack (3 Stickers)*	,5
CALICO Sandal (Left)*	,1
CALICO Sandal (Right)*	,1
"1x Limited Edition ""CALCO TOWN"" Shirt (Black, Large)*	",1
"1x Limited Edition ""CALCO TOWN"" Shirt (White, Large)*	",1
Brick*,1